id,rand,coef,t
511904,0.1750920352468016,1.21,1.52096596357e+12
511905,0.5972016511012804,2.48,1.520965984063e+12
511906,0.6832481626615042,3.15,1.520966015914e+12
511907,0.1834680245219422,1.22,1.520966052166e+12
511908,0.7657518002124857,4.27,1.520966072778e+12
511909,0.1312604360588036,1.15,1.520966114999e+12
511910,0.0897039056498799,1.1,1.520966134811e+12
511911,0.6084478952941598,2.55,1.520966154034e+12
511912,0.1119166235700055,1.13,1.520966186376e+12
511913,0.0369357187386918,1.04,1.520966205949e+12
511914,0.8192933816042015,5.53,1.520966224441e+12
511915,0.2837665924531795,1.4,1.520966272025e+12
511916,0.2180491586257818,1.28,1.520966294587e+12
511917,0.7831574342640019,4.61,1.520966315858e+12
511918,0.9411454791997432,16.98,1.520966359641e+12
511919,0.4442740239771721,1.8,1.520966432543e+12
511920,0.7525077531469305,1,1.520966458955e+12
511921,0.2557946383617344,1.34,1.520966476958e+12
511922,0.3995002886279254,1.66,1.52096649888e+12
511923,0.5914680928903324,2.45,1.520966524012e+12
511924,0.4761116591925061,1.91,1.520966555645e+12
511925,0.6849929726880494,3.17,1.520966583017e+12
511926,0.3207001237479737,1.47,1.520966619388e+12
511927,0.5798352823080112,2.38,1.52096664267e+12
511928,0.6231274217421021,2.65,1.520966673793e+12
511929,0.2866591283321984,1.4,1.520966706835e+12
511930,0.7097793365152975,3.44,1.520966729399e+12
511931,0.3055052851106752,1,1.520966767341e+12
511932,0.1419454240570649,1.17,1.520966785342e+12
511933,0.3698869413626117,1.59,1.520966805387e+12
511934,0.2912462030749876,1.41,1.52096682985e+12
511935,0.3328162174049802,1.5,1.520966852512e+12
511936,0.6417327464189689,2.79,1.520966876095e+12
511937,0.3041097154617565,1,1.520966910077e+12
511938,0.1531624445116991,1.18,1.52096692808e+12
511939,0.2147752794471512,1.27,1.520966948232e+12
511940,0.6844605073995099,3.17,1.520966969394e+12
511941,0.4588414594668060,1.85,1.520967005767e+12
